2023-04-12,Prizefighter: The Life of Jem Belcher,2022,5,yes
2023-04-14,Vesper,2022,5.5,yes
2023-04-15,Shazam! Fury of the Gods,2023,6,yes
2023-04-15,65,2023,5,yes
2023-04-16,Mortal Kombat Legends: Snow Blind,2022,4,yes
2023-04-23,Ghosted,2023,6.5,yes
2023-04-23,Ant-Man and the Wasp: Quantumania,2023,6,yes
2023-04-30,The Princess,2022,5.5,yes
2023-04-30,Knight and Day,2010,6,no
2023-05-02,A Tourist's Guide to Love,2023,5,yes
2023-05-01,Tenet,2020,9,no
2023-05-05,AKA,2023,7.5,yes
2023-05-05,Kill Boksoon,2023,7,yes
2023-05-06,Mighty Morphin Power Rangers: Once & Always,2023,4.5,yes
2023-05-07,Dungeons & Dragons: Honor Among Thieves,2023,6,yes
2023-05-15,Last Night in Soho,2021,6,yes
2023-05-17,The Super Mario Bros. Movie,2023,6.5,yes
2023-06-02,Alita: Battle Angel,2019,7,no
2023-06-04,John Wick: Chapter 4,2023,6,yes
2023-06-09,Shooter,2007,7,no
2023-06-12,Sniper: Reloaded,2011,5,yes
2023-06-13,Sniper: Legacy,2014,5,yes
2023-06-18,Extraction II,2023,7,yes
2023-06-24,Austin Powers: International Man of Mystery,1997,7.5,no
2023-06-24,Guns Akimbo,2019,6.5,yes
2023-06-26,Fast X,2023,6,yes
2023-07-02,The Scorpion King: Book of Souls,2018,4,yes
2023-07-02,Make Me Believe,2023,7,yes
2023-07-09,The Out-Laws,2023,4,yes
2023-07-11,Air,2023,7,yes
2023-07-11,Guardians of the Galaxy Vol. 3,2023,8,yes
2023-07-12,A Good Person,2023,8,yes
2023-07-21,Shrek,2001,10,no
2023-07-24,Kingdom,2019,5,yes
2023-07-24,First Daughter,2004,5,yes
2023-07-29,The Flash,2023,5,yes
2023-07-31,Hidden Strike,2023,6,yes
2023-08-01,Ronin,1998,7,yes
2023-08-04,Göta kanal eller Vem drog ur proppen?,1981,7.5,no
2023-08-06,Oppenheimer,2023,8.5,yes
2023-08-07,Göta kanal 2 - Kanalkampen,2006,2.5,yes
2023-08-22,Heart of Stone,2023,7,yes
2023-08-24,Meet Joe Black,1998,8,no
2023-09-04,Ghostbusters: Afterlife,2021,6.5,yes
2023-09-14,Gifted,2017,7,no
2023-09-19,Barbie,2023,6,yes
2023-09-21,The One,2001,6.5,yes
2023-09-23,Equilibrium,2002,8,no
2023-09-24,Princess Mononoke,1997,8,no
2023-09-25,Dune: Part One,2021,8,no
2023-10-06,The Equalizer 3,2023,7,yes
2023-10-09,Gran Turismo,2023,7,yes
2023-10-14,Ballerina,2023,7.5,yes
2023-10-15,Nimona,2023,6,yes
2023-10-15,The Outfit,2022,7,yes
2023-10-24,Blue Beetle,2023,4,yes
2023-10-24,Expend4bles,2023,5,yes
2023-10-28,Corpse Bride,2005,6,no
2023-10-28,The Nightmare Before Christmas,1993,7,no
2023-10-28,Scary Movie,2000,6,no
2023-10-29,Tenacious D in the Pick of Destiny,2006,5.5,no
2023-10-29,Mission: Impossible - Dead Reckoning Part One,2023,7,yes
2023-11-07,Transformers: Rise of the Beasts,2023,5.5,yes
2023-11-10,The Killer,2023,7.5,yes
2023-11-15,Layer Cake,2004,7.5,yes
2023-12-21,Infinite,2021,7,no
2023-12-27,The Family Plan,2023,6.5,yes
2024-01-07,Dream Scenario,2023,5,yes
2024-01-18,The Marvels,2023,6.5,yes
2024-01-25,Redline,2009,7,yes
2024-01-26,Tokyo Godfathers,2003,7.5,yes
2024-01-27,Weathering with You,2019,8.5,yes
2024-01-27,Wish,2023,4,yes
2024-01-27,Aquaman and the Lost Kingdom,2023,5,yes
2024-01-30,Kiki's Delivery Service,1989,7,no
2024-01-31,Bullet Train,2022,7.5,yes
2024-02-04,Crazy Rich Asians,2018,7,no
2024-02-05,Spirited Away,2001,8,no
2024-02-06,Badland Hunters,2024,5,yes
2024-02-11,The Hunger Games: The Ballad of Songbirds & Snakes,2023,6,yes
2024-02-27,Dune: Part One,2021,8,no
2024-02-28,Dune: Part Two,2024,8.5,yes
2024-03-03,Spaceman,2024,6,yes
2024-03-04,Retribution,2023,5,yes
2024-03-12,Damsel,2024,6.5,yes
2024-03-17,Elemental,2023,6,yes
2024-03-17,The Creator,2023,6,yes
2024-04-15,Eternals,2021,6,no
2024-04-15,Hercules,1997,8,no
2024-04-18,The Devil Wears Prada,2006,6.5,no
2024-04-20,Another Earth,2011,7,yes
2024-04-26,Rebel Moon - Part One: A Child of Fire,2023,4,yes
2024-04-26,Rebel Moon - Part Two: The Scargiver,2024,4,yes
2024-05-05,Wonka,2023,6,yes
2024-05-09,Mary and the Witch's Flower,2017,7.5,yes
2024-05-15,Suzume,2022,8,yes
2024-05-17,Godzilla Minus One,2023,8.5,yes
2024-05-24,Atlas,2024,6,yes
2024-06-19,Madame Web,2024,5,yes
2024-06-20,The 13th Warrior,1999,6,no
2024-06-22,Airplane!,1980,8,no
2024-07-20,The Fall Guy,2024,7,yes
2024-07-21,A Family Affair,2024,6.5,yes
2024-07-22,Beverly Hills Cop: Axel F,2024,5,yes
2024-07-22,Trigger Warning,2024,5,yes
2024-07-28,Deadpool & Wolverine,2024,8,yes
2024-07-29,The Ministry of Ungentlemanly Warfare,2024,8.5,yes
2024-07-31,My Dinner with Andre,1981,8.5,yes
2024-08-01,Furiosa: A Mad Max Saga,2024,6,yes
2024-08-21,The Menu,2022,7,yes
2024-08-27,The Man from Earth,2007,10,no
2024-08-28,Highlander,1986,6.5,no
2024-08-29,Highlander II: The Quickening,1991,5,yes
2024-08-31,Highlander: The Final Dimension,1994,3,yes
2024-08-31,Highlander: Endgame,2000,4,yes
2024-08-31,Highlander: The Source,2007,2,yes
2024-08-31,The Northman,2022,7,yes
2024-09-01,Lupin III: The Castle of Cagliostro,1979,7.5,yes
2024-09-07,Inside,2023,5.5,yes
2024-09-08,Sneakers,1992,7,yes
2024-09-08,The NeverEnding Story II: The Next Chapter,1990,5,yes
2024-09-11,Limitless,2011,8,no
2024-09-17,Fury,2014,7,no
2024-10-10,The Boy and The Heron,2023,7.5,yes
2024-10-12,Platoon,1986,6,yes
2024-10-13,Argylle,2024,7,yes
2024-10-16,Memento,2000,8,no
2024-10-17,A Knights Tale,2001,7.5,no
2024-11-09,The Devil's Advocate,1997,6.0,yes
2024-11-12,Gladiator 2,2024,6.5,yes
2024-11-15,The Little Mermaid,2023,4.5,yes
2024-11-15,Closer,2004,6,yes
2024-11-16,Locke,2014,7.0,yes
